,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,deep fake,Text length,0,Duration,0,532,403,934,300,0.8821968250424211,0.7823599654846793,14.120057577442488,0.9178000654182091,0.8768005888590223,12.57147190811427
1,deep fake,Text length,0,Duration,25,18,403,934,300,0.8758954347175352,0.7668505700599678,14.568583889566844,0.9158864967807219,0.8679943725573198,12.82068493412294
2,deep fake,Text length,0,Duration,50,5,403,934,300,0.8717910860598259,0.7677728949958853,15.104865435669945,0.9123237243866074,0.8682612594117188,13.691250712939485
3,deep fake,Text length,0,Duration,75,3,403,934,300,0.8769724467523708,0.7741945365310692,14.532132209779801,0.9157434430455373,0.8735247065553534,12.885203189199549
4,deep fake,Text length,0,Duration,100,3,403,934,300,0.8769724467523708,0.7741945365310692,14.532132209779801,0.9157434430455373,0.8735247065553534,12.885203189199549
5,deep fake,Text length,0,Duration,125,2,403,934,300,0.8769724467523708,0.7741945365310692,14.532132209779801,0.9157434430455373,0.8735247065553534,12.885203189199549
6,deep fake,Text length,0,Duration,150,1,403,934,300,0.876972446752371,0.7741945365310694,14.5321322097798,0.9157434430455373,0.8735247065553529,12.885203189199549
7,deep fake,Text length,100,Duration,0,532,399,934,300,0.8819004408959193,0.7805331622281092,14.120057577442488,0.917779888217227,0.8755409818004941,12.615751641879324
8,deep fake,Text length,100,Duration,25,18,399,934,300,0.8754935324942107,0.764724104890205,14.573222011977334,0.915885717582165,0.8666586821878427,12.867528399056683
9,deep fake,Text length,100,Duration,50,5,399,934,300,0.8713670373363189,0.7656634140334512,15.159340874760767,0.9123621226048261,0.867049010709028,13.733926483770597
10,deep fake,Text length,100,Duration,75,3,399,934,300,0.8766250552736916,0.7721834539822132,14.536770332190292,0.9157751284628834,0.872280103273532,12.932046654133293
11,deep fake,Text length,100,Duration,100,3,399,934,300,0.8766250552736916,0.7721834539822132,14.536770332190292,0.9157751284628834,0.872280103273532,12.932046654133293
12,deep fake,Text length,100,Duration,125,2,399,934,300,0.8766250552736916,0.7721834539822132,14.536770332190292,0.9157751284628834,0.872280103273532,12.932046654133293
13,deep fake,Text length,100,Duration,150,1,399,934,300,0.8766250552736917,0.7721834539822132,14.53677033219029,0.9157751284628834,0.872280103273532,12.932046654133291
