,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,covid-19,Track time,0,Duration,0,478,1005,974,119,0.8284101276770666,0.5130829700810823,15.146162431318688,0.8668482899515374,0.6120814950016666,13.43743257820928
1,covid-19,Track time,0,Duration,25,23,1005,974,119,0.8388424072867171,0.551914042187912,14.544024911402953,0.8781702374434521,0.651713198803068,12.746888731023233
2,covid-19,Track time,0,Duration,50,8,1005,974,119,0.8303571467409901,0.5261746034244335,14.738990514905145,0.8718062453658787,0.6295111211348356,13.008621218898277
3,covid-19,Track time,0,Duration,75,4,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
4,covid-19,Track time,0,Duration,100,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
5,covid-19,Track time,0,Duration,125,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
6,covid-19,Track time,0,Duration,150,3,1005,974,119,0.8210585082851309,0.5005505540034954,14.498668879979952,0.8645834984893699,0.6041618525733009,13.06543120078429
7,covid-19,Track time,5,Duration,0,478,1005,858,119,0.8274655432412753,0.5107887102289093,15.11596314721315,0.8658398157601339,0.6084381171521402,13.421401030017535
8,covid-19,Track time,5,Duration,25,23,1005,858,119,0.8382096685082795,0.5505275396383537,15.004993317493314,0.8773260379282681,0.6486954355998451,13.071609751221404
9,covid-19,Track time,5,Duration,50,8,1005,858,119,0.8295532167958286,0.5243920944511996,15.140611078111077,0.8708490271360722,0.626177117056897,13.233909360122949
10,covid-19,Track time,5,Duration,75,4,1005,858,119,0.8199623164315104,0.4981864873393554,14.501160244711068,0.8635056191862844,0.6004799651359815,13.047999847342604
11,covid-19,Track time,5,Duration,100,3,1005,858,119,0.8199623164315104,0.4981864873393554,14.501160244711068,0.8635056191862844,0.6004799651359815,13.047999847342604
12,covid-19,Track time,5,Duration,125,3,1005,858,119,0.8199623164315104,0.4981864873393554,14.501160244711068,0.8635056191862844,0.6004799651359815,13.047999847342604
13,covid-19,Track time,5,Duration,150,3,1005,858,119,0.8199623164315104,0.4981864873393554,14.501160244711068,0.8635056191862844,0.6004799651359815,13.047999847342604
14,covid-19,Track time,10,Duration,0,478,1005,727,119,0.8197982511384287,0.4884388827069439,15.42602449633699,0.8599516624320094,0.5872771526317757,13.595026198181541
15,covid-19,Track time,10,Duration,25,23,1005,727,119,0.8309729601571743,0.5303089214446627,15.199862637362639,0.8726854464755557,0.6325825987407196,13.071813838804127
16,covid-19,Track time,10,Duration,50,8,1005,727,119,0.8221082183705163,0.5034701612757199,15.377060439560434,0.8652546755186907,0.6066485658005127,13.343658498998302
17,covid-19,Track time,10,Duration,75,4,1005,727,119,0.8117233683544263,0.47578758942985744,14.886890490983992,0.8573130614179962,0.5787635256109602,13.300661171583542
18,covid-19,Track time,10,Duration,100,3,1005,727,119,0.8117233683544263,0.47578758942985744,14.886890490983992,0.8573130614179962,0.5787635256109602,13.300661171583542
19,covid-19,Track time,10,Duration,125,3,1005,727,119,0.8117233683544263,0.47578758942985744,14.886890490983992,0.8573130614179962,0.5787635256109602,13.300661171583542
20,covid-19,Track time,10,Duration,150,3,1005,727,119,0.8117233683544263,0.47578758942985744,14.886890490983992,0.8573130614179962,0.5787635256109602,13.300661171583542
21,covid-19,Track time,25,Duration,0,478,1005,454,119,0.8248686098487752,0.5083980849274072,15.219665750915748,0.864271966170392,0.6032754013627509,13.41781283710895
