Categoría: Todas las categorías

Semana,social networks: (Todo el mundo)
2018-11-04,76
2018-11-11,75
2018-11-18,70
2018-11-25,68
2018-12-02,75
2018-12-09,69
2018-12-16,54
2018-12-23,45
2018-12-30,45
2019-01-06,58
2019-01-13,66
2019-01-20,59
2019-01-27,74
2019-02-03,71
2019-02-10,67
2019-02-17,77
2019-02-24,76
2019-03-03,68
2019-03-10,68
2019-03-17,70
2019-03-24,69
2019-03-31,62
2019-04-07,78
2019-04-14,60
2019-04-21,64
2019-04-28,65
2019-05-05,63
2019-05-12,66
2019-05-19,58
2019-05-26,57
2019-06-02,56
2019-06-09,57
2019-06-16,58
2019-06-23,52
2019-06-30,53
2019-07-07,51
2019-07-14,53
2019-07-21,44
2019-07-28,50
2019-08-04,44
2019-08-11,46
2019-08-18,46
2019-08-25,55
2019-09-01,63
2019-09-08,65
2019-09-15,62
2019-09-22,66
2019-09-29,64
2019-10-06,68
2019-10-13,65
2019-10-20,60
2019-10-27,58
2019-11-03,72
2019-11-10,64
2019-11-17,68
2019-11-24,58
2019-12-01,68
2019-12-08,63
2019-12-15,52
2019-12-22,37
2019-12-29,41
2020-01-05,56
2020-01-12,54
2020-01-19,57
2020-01-26,59
2020-02-02,62
2020-02-09,61
2020-02-16,64
2020-02-23,63
2020-03-01,65
2020-03-08,58
2020-03-15,55
2020-03-22,57
2020-03-29,62
2020-04-05,64
2020-04-12,63
2020-04-19,66
2020-04-26,61
2020-05-03,67
2020-05-10,67
2020-05-17,56
2020-05-24,60
2020-05-31,56
2020-06-07,56
2020-06-14,52
2020-06-21,48
2020-06-28,48
2020-07-05,50
2020-07-12,46
2020-07-19,44
2020-07-26,44
2020-08-02,46
2020-08-09,43
2020-08-16,44
2020-08-23,51
2020-08-30,52
2020-09-06,62
2020-09-13,69
2020-09-20,74
2020-09-27,67
2020-10-04,89
2020-10-11,67
2020-10-18,64
2020-10-25,62
2020-11-01,65
2020-11-08,69
2020-11-15,69
2020-11-22,58
2020-11-29,67
2020-12-06,67
2020-12-13,58
2020-12-20,37
2020-12-27,30
2021-01-03,48
2021-01-10,66
2021-01-17,60
2021-01-24,61
2021-01-31,60
2021-02-07,52
2021-02-14,56
2021-02-21,64
2021-02-28,64
2021-03-07,63
2021-03-14,61
2021-03-21,65
2021-03-28,58
2021-04-04,63
2021-04-11,62
2021-04-18,67
2021-04-25,62
2021-05-02,52
2021-05-09,58
2021-05-16,65
2021-05-23,64
2021-05-30,57
2021-06-06,65
2021-06-13,60
2021-06-20,59
2021-06-27,51
2021-07-04,38
2021-07-11,45
2021-07-18,38
2021-07-25,41
2021-08-01,41
2021-08-08,37
2021-08-15,46
2021-08-22,47
2021-08-29,44
2021-09-05,49
2021-09-12,66
2021-09-19,76
2021-09-26,63
2021-10-03,87
2021-10-10,68
2021-10-17,71
2021-10-24,68
2021-10-31,64
2021-11-07,68
2021-11-14,77
2021-11-21,68
2021-11-28,62
2021-12-05,65
2021-12-12,66
2021-12-19,49
2021-12-26,35
2022-01-02,64
2022-01-09,67
2022-01-16,60
2022-01-23,74
2022-01-30,68
2022-02-06,77
2022-02-13,92
2022-02-20,94
2022-02-27,100
2022-03-06,91
2022-03-13,99
2022-03-20,87
2022-03-27,96
2022-04-03,97
2022-04-10,83
2022-04-17,92
2022-04-24,93
2022-05-01,83
2022-05-08,80
2022-05-15,78
2022-05-22,76
2022-05-29,74
2022-06-05,72
2022-06-12,56
2022-06-19,64
2022-06-26,51
2022-07-03,48
2022-07-10,49
2022-07-17,54
2022-07-24,46
2022-07-31,43
2022-08-07,46
2022-08-14,45
2022-08-21,60
2022-08-28,58
2022-09-04,65
2022-09-11,74
2022-09-18,74
2022-09-25,72
2022-10-02,73
2022-10-09,73
2022-10-16,77
2022-10-23,79
2022-10-30,74
2022-11-06,82
2022-11-13,81
2022-11-20,75
2022-11-27,71
2022-12-04,75
2022-12-11,70
2022-12-18,53
2022-12-25,41
2023-01-01,49
2023-01-08,57
2023-01-15,60
2023-01-22,59
2023-01-29,66
2023-02-05,68
2023-02-12,67
2023-02-19,75
2023-02-26,77
2023-03-05,76
2023-03-12,69
2023-03-19,73
2023-03-26,75
2023-04-02,61
2023-04-09,62
2023-04-16,76
2023-04-23,78
2023-04-30,74
2023-05-07,73
2023-05-14,72
2023-05-21,66
2023-05-28,61
2023-06-04,61
2023-06-11,59
2023-06-18,47
2023-06-25,44
2023-07-02,45
2023-07-09,51
2023-07-16,43
2023-07-23,45
2023-07-30,41
2023-08-06,42
2023-08-13,40
2023-08-20,44
2023-08-27,49
2023-09-03,61
2023-09-10,68
2023-09-17,65
2023-09-24,70
2023-10-01,69
2023-10-08,65
2023-10-15,68
2023-10-22,71
2023-10-29,63
