,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,quantum computing,Duration,0,Track time,0,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
1,quantum computing,Duration,0,Track time,5,502,399,948,42,0.8327166203625943,0.5051302820265443,13.48737229464615,0.890640619413484,0.6466431051270648,11.494480420915695
2,quantum computing,Duration,0,Track time,10,502,399,875,42,0.8319290957408807,0.5025809292846899,13.20729014563431,0.890685908379483,0.6445647800384411,11.232497676651162
3,quantum computing,Duration,0,Track time,15,502,399,819,42,0.8339778599835078,0.5045849464812743,13.675605337252016,0.8923968001462067,0.6443373715715799,11.63347168838782
4,quantum computing,Duration,0,Track time,20,502,399,756,42,0.8345888988004562,0.5083896954360076,13.138643228648428,0.8915797523044487,0.6453176876472904,11.206812418883416
5,quantum computing,Duration,0,Track time,25,502,399,686,42,0.8309615366605795,0.5044332551965893,13.4314930792685,0.889994710348305,0.6426929450771763,11.40777605967392
6,quantum computing,Duration,0,Track time,30,502,399,594,42,0.8296802869808223,0.49630719383535826,12.610150227729655,0.8906482220982256,0.6321590693683163,10.473350077789357
7,quantum computing,Duration,0,Track time,40,502,399,438,42,0.820298797214416,0.47018660756379266,14.145085080877433,0.8865308892914098,0.6168256077562541,11.915774361190449
8,quantum computing,Duration,5,Track time,0,304,399,996,42,0.8375524253119178,0.5066661954296958,13.777532839828725,0.8960110510999708,0.6526751670981943,11.893682753218545
9,quantum computing,Duration,5,Track time,5,304,399,948,42,0.8386475430549339,0.509847059702634,13.424382076111636,0.8962630192837838,0.6538253340006188,11.551252837813253
10,quantum computing,Duration,5,Track time,10,304,399,875,42,0.8378264389175201,0.5072853887692572,13.150078228015884,0.896221456269643,0.6516746120363092,11.258292898223676
11,quantum computing,Duration,5,Track time,15,304,399,819,42,0.8396876573904583,0.5093153037959558,13.621467043220918,0.8975734257277084,0.6511187865945021,11.683263859106164
12,quantum computing,Duration,5,Track time,20,304,399,756,42,0.840157627525388,0.5128539834737509,13.082764107324756,0.8968003438256231,0.6520500229925649,11.24609195770245
13,quantum computing,Duration,5,Track time,25,304,399,686,42,0.8365820178318353,0.5087288836522071,13.330415780533146,0.8953422719877683,0.6495005450015887,11.44338764216607
14,quantum computing,Duration,5,Track time,30,304,399,594,42,0.8353077936279848,0.5008398339925025,12.518827622994287,0.8959958000271752,0.6394915200633257,10.485791027862222
15,quantum computing,Duration,5,Track time,40,304,399,438,42,0.826548823448228,0.47529334130138107,13.462311446807567,0.8922588503270613,0.6246323373888809,11.347148935142211
16,quantum computing,Duration,10,Track time,0,214,399,996,42,0.8342527550944732,0.5045890732241131,13.183435963054205,0.8941393991160735,0.65157109516458,11.177733308774988
17,quantum computing,Duration,10,Track time,5,214,399,948,42,0.8352594650155801,0.5076160710949825,13.036433553674934,0.8944033723085174,0.6527526797879301,11.036348574569752
18,quantum computing,Duration,10,Track time,10,214,399,875,42,0.8346150113678008,0.5053181959170838,12.792022792022792,0.8944056108564177,0.6506700199841754,10.794594060363666
19,quantum computing,Duration,10,Track time,15,214,399,819,42,0.8366326697793612,0.5074056243099502,13.262786596119936,0.8959042200376712,0.6502648114406886,11.180912208707207
20,quantum computing,Duration,10,Track time,20,214,399,756,42,0.837089309099461,0.5109073503728049,12.761113515332923,0.8950719294835858,0.6510904777072364,10.805941057740116
21,quantum computing,Duration,10,Track time,25,214,399,686,42,0.8334029536827099,0.5067360875111583,12.592808426141763,0.8936000743009578,0.6485872236818168,10.622950105150755
22,quantum computing,Duration,10,Track time,30,214,399,594,42,0.8323399011205005,0.49911990312163335,12.21018179351513,0.8945712346515519,0.6391618838362846,10.098514294846552
23,quantum computing,Duration,10,Track time,40,214,399,438,42,0.8232873136777096,0.4735713083298507,12.645976136075152,0.8905014337261498,0.6238509267936563,10.393606782468968
