,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,windows 11,Track time,0,Text length,0,Duration,0,540,1349,984,37,0.750934673021067,0.3585849347132469,21.426386778741634,0.7887455113835338,0.42825428218294714,19.92600253699647
1,windows 11,Track time,0,Text length,0,Duration,5,399,1349,984,37,0.7533906750403288,0.3664498693469528,21.344019921464458,0.7920472435148451,0.43893264651964886,20.27672212732564
2,windows 11,Track time,0,Text length,0,Duration,10,219,1349,984,37,0.7536416230153522,0.3687969442852542,21.529764324559157,0.793229655979736,0.4429834224239836,20.718499214346572
3,windows 11,Track time,0,Text length,0,Duration,15,102,1349,984,37,0.7508518006808614,0.36623120708474277,21.59126673878226,0.7932256413183684,0.44490561093947767,20.71169565591563
4,windows 11,Track time,0,Text length,0,Duration,20,54,1349,984,37,0.7441534889131601,0.3485490166383351,21.924741062939823,0.7876058490642985,0.42825366639829127,20.94438757889279
5,windows 11,Track time,0,Text length,0,Duration,25,29,1349,984,37,0.7422191974132255,0.3404171078074566,21.702602952602945,0.7847168149141142,0.4168279337555369,20.45231047805741
6,windows 11,Track time,0,Text length,0,Duration,30,23,1349,984,37,0.74091187677703,0.34266209650102436,21.990246640867763,0.786932386032723,0.4247519059939145,21.08133334389138
7,windows 11,Track time,0,Text length,0,Duration,40,16,1349,984,37,0.7418615101837504,0.3397461849796411,21.753774446593596,0.7832864289197821,0.4127693841728402,20.24636817809718
8,windows 11,Track time,0,Text length,0,Duration,50,14,1349,984,37,0.7442996835694439,0.3481357166136669,22.090280106119145,0.7878139331615032,0.4264097978208878,19.747702565397756
9,windows 11,Track time,0,Text length,0,Duration,75,10,1349,984,37,0.740993323585601,0.3557020001853314,22.41345890596961,0.7971876122636571,0.45798120317002544,19.694435222875867
10,windows 11,Track time,0,Text length,0,Duration,100,6,1349,984,37,0.7382440783429626,0.34487375669256565,22.41866846895378,0.7907520752540317,0.43913028778578295,20.43999496182923
11,windows 11,Track time,0,Text length,0,Duration,125,4,1349,984,37,0.7442022249365859,0.3543530948575067,22.13692199678746,0.789684736658545,0.4343018085891182,20.394271711264167
12,windows 11,Track time,0,Text length,0,Duration,150,2,1349,984,37,0.7441617969956136,0.349844098705466,22.080781077417843,0.7868446070163919,0.42507595263695025,20.652825437535256
13,windows 11,Track time,0,Text length,100,Duration,0,540,1294,984,37,0.747790004705204,0.3536667597350723,21.563037717944674,0.785977966678046,0.42151336946655227,20.16867125282439
