,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,vpn,Track time,0,Duration,0,502,1985,1000,229,0.822555055145801,0.45888354532390696,29.435898261459617,0.857188566450529,0.5374773917298153,28.72553929181584
1,vpn,Track time,0,Duration,25,11,1985,1000,229,0.8012277464867885,0.39725361171829177,21.056462851803474,0.8428084811092177,0.48430465419376195,20.136732762716804
2,vpn,Track time,0,Duration,50,5,1985,1000,229,0.8102977564924786,0.41829833083112383,29.684506700162114,0.8490287190089635,0.5040308430624937,28.866946237599098
3,vpn,Track time,0,Duration,75,3,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
4,vpn,Track time,0,Duration,100,2,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
5,vpn,Track time,0,Duration,125,2,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
6,vpn,Track time,0,Duration,150,1,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
7,vpn,Track time,5,Duration,0,502,1985,873,229,0.8277881230584694,0.47674658870283815,27.163140007989366,0.8613722337084597,0.5535362686725565,26.402149482927218
8,vpn,Track time,5,Duration,25,11,1985,873,229,0.8037951703127835,0.40814312033386735,20.481845759873927,0.8452458219158634,0.49454736252918424,19.50933605161419
9,vpn,Track time,5,Duration,50,5,1985,873,229,0.8142058546704383,0.4325699621859679,27.365217493669295,0.8525713637623588,0.5180546309769871,26.47449267850405
10,vpn,Track time,5,Duration,75,3,1985,873,229,0.8212151920333294,0.4541559313284934,26.752290301990246,0.8568403463203459,0.5351391199409842,25.855614737391218
11,vpn,Track time,5,Duration,100,2,1985,873,229,0.8212151920333294,0.4541559313284934,26.752290301990246,0.8568403463203459,0.5351391199409842,25.855614737391218
12,vpn,Track time,5,Duration,125,2,1985,873,229,0.8212151920333294,0.4541559313284934,26.752290301990246,0.8568403463203459,0.5351391199409842,25.855614737391218
13,vpn,Track time,5,Duration,150,1,1985,873,229,0.8212151920333294,0.4541559313284934,26.752290301990246,0.8568403463203459,0.5351391199409842,25.855614737391218
14,vpn,Track time,10,Duration,0,502,1985,726,229,0.8276934726005265,0.476484995210876,27.306622561197806,0.8605844958035924,0.5504492331052526,26.50581880220305
15,vpn,Track time,10,Duration,25,11,1985,726,229,0.8052875744351881,0.41178100922362587,22.78919019685507,0.8458673028265642,0.49601833725043654,21.813989546477227
16,vpn,Track time,10,Duration,50,5,1985,726,229,0.8147894533230727,0.4343630844372914,27.438161687407163,0.8526777012826129,0.5180973501341516,26.511562756947697
17,vpn,Track time,10,Duration,75,3,1985,726,229,0.8214835434979054,0.45503715390065536,26.919584241220843,0.8564665648664694,0.5334986254104033,25.98622451979476
