,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,quantum computing,Track time,0,Text length,0,Duration,0,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
1,quantum computing,Track time,0,Text length,0,Duration,25,73,399,996,42,0.8289065286411779,0.48799012129733244,13.43175588198622,0.8921919814472998,0.641348761537794,11.353950838547526
2,quantum computing,Track time,0,Text length,0,Duration,50,35,399,996,42,0.8303159232834503,0.4884775220516687,12.374527799281344,0.8936725067699476,0.6414575262371542,10.187762602035983
3,quantum computing,Track time,0,Text length,0,Duration,75,11,399,996,42,0.7978442168283837,0.40270336510641025,13.62607753325847,0.8894390209542026,0.5776955032219796,11.094473778244138
4,quantum computing,Track time,0,Text length,0,Duration,100,4,399,996,42,0.8113476046987952,0.4440877433032629,12.866220599836156,0.8880683501250853,0.6047673342879336,10.654942242539578
5,quantum computing,Track time,0,Text length,0,Duration,125,1,399,996,42,0.8288976710170178,0.4900638685687987,13.136076466892177,0.8928985204869915,0.64141415638519,10.941223588492335
6,quantum computing,Track time,0,Text length,0,Duration,150,1,399,996,42,0.8288976710170178,0.4900638685687987,13.136076466892177,0.8928985204869915,0.64141415638519,10.941223588492335
7,quantum computing,Track time,0,Text length,100,Duration,0,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
8,quantum computing,Track time,0,Text length,100,Duration,25,73,399,996,42,0.8289065286411779,0.48799012129733244,13.43175588198622,0.8921919814472998,0.641348761537794,11.353950838547526
9,quantum computing,Track time,0,Text length,100,Duration,50,35,399,996,42,0.8303159232834503,0.4884775220516687,12.374527799281344,0.8936725067699476,0.6414575262371542,10.187762602035983
10,quantum computing,Track time,0,Text length,100,Duration,75,11,399,996,42,0.7978442168283837,0.40270336510641025,13.62607753325847,0.8894390209542026,0.5776955032219796,11.094473778244138
11,quantum computing,Track time,0,Text length,100,Duration,100,4,399,996,42,0.8113476046987952,0.4440877433032629,12.866220599836156,0.8880683501250853,0.6047673342879336,10.654942242539578
12,quantum computing,Track time,0,Text length,100,Duration,125,1,399,996,42,0.8288976710170178,0.4900638685687987,13.136076466892177,0.8928985204869915,0.64141415638519,10.941223588492335
13,quantum computing,Track time,0,Text length,100,Duration,150,1,399,996,42,0.8288976710170178,0.4900638685687987,13.136076466892177,0.8928985204869915,0.64141415638519,10.941223588492335
