,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,vpn,Text length,0,Duration,0,502,1985,1000,229,0.822555055145801,0.45888354532390696,29.435898261459617,0.857188566450529,0.5374773917298153,28.72553929181584
1,vpn,Text length,0,Duration,25,11,1985,1000,229,0.8012277464867885,0.39725361171829177,21.056462851803474,0.8428084811092177,0.48430465419376195,20.136732762716804
2,vpn,Text length,0,Duration,50,5,1985,1000,229,0.8102977564924786,0.41829833083112383,29.684506700162114,0.8490287190089635,0.5040308430624937,28.866946237599098
3,vpn,Text length,0,Duration,75,3,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
4,vpn,Text length,0,Duration,100,2,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
5,vpn,Text length,0,Duration,125,2,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
6,vpn,Text length,0,Duration,150,1,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
7,vpn,Text length,100,Duration,0,502,1977,1000,229,0.8228447551454371,0.45972810505819284,29.336899053453287,0.8575344528573355,0.5387043575410593,28.62557892645022
8,vpn,Text length,100,Duration,25,11,1977,1000,229,0.8013496077662314,0.3976438826599153,20.97942124933814,0.843002307235921,0.48498794617678603,20.05894318352851
9,vpn,Text length,100,Duration,50,5,1977,1000,229,0.8105283244302143,0.4189566564125073,29.582352168215607,0.8493299448969894,0.5051045694642238,28.763799914080302
10,vpn,Text length,100,Duration,75,3,1977,1000,229,0.8163615689808101,0.43741270469177695,28.96942497653656,0.8530308034405151,0.5202532845657408,28.144921972967463
11,vpn,Text length,100,Duration,100,2,1977,1000,229,0.8163615689808101,0.43741270469177695,28.96942497653656,0.8530308034405151,0.5202532845657408,28.144921972967463
12,vpn,Text length,100,Duration,125,2,1977,1000,229,0.8163615689808101,0.43741270469177695,28.96942497653656,0.8530308034405151,0.5202532845657408,28.144921972967463
