,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,quantum computing,Installs,0,View count,0,502,399,996,42,0.831829191277974,0.5022483067817476,13.813547371391458,0.8906127046764637,0.6459349008587311,11.797831097344648
1,quantum computing,Installs,0,View count,100,430,399,996,42,0.8305331879734442,0.514793242291952,12.220365189437125,0.8808264946214455,0.6419821653899525,10.508502424207544
2,quantum computing,Installs,0,View count,1000,374,399,996,42,0.8322712718044954,0.5176875846953873,11.059855421515282,0.885559113901292,0.6473699824048518,9.364849308861668
3,quantum computing,Installs,0,View count,10000,285,399,996,42,0.8286357513516499,0.5020721308284296,10.700452827390812,0.8896872613756189,0.6465933101050705,8.8531837951697
4,quantum computing,Installs,0,View count,20000,254,399,996,42,0.8298839463096745,0.5028552783234166,10.305650601193241,0.8912546267525804,0.6498555728990278,8.512606771493907
5,quantum computing,Installs,0,View count,35000,211,399,996,42,0.8196798995246521,0.49395009461295036,11.013766236634458,0.885922976254783,0.6447387790597681,8.850494887724258
6,quantum computing,Installs,0,View count,50000,197,399,996,42,0.8229682734563245,0.49825225997193084,10.73040797847,0.8888769592085813,0.6489918716836567,8.625258487529878
7,quantum computing,Installs,0,View count,75000,164,399,996,42,0.818265389888211,0.48692061567916306,10.853005019671688,0.8899046063223648,0.645435655925297,8.63730696976225
8,quantum computing,Installs,0,View count,100000,153,399,996,42,0.8141376963984504,0.4861899174182108,10.930398197840058,0.8871532230784884,0.6470882617785224,8.627049101447632
9,quantum computing,Installs,0,View count,200000,112,399,996,42,0.8155958595020179,0.4951409275796757,10.20525913936767,0.8843687496659499,0.6483622309609146,8.023695835090429
10,quantum computing,Installs,0,View count,300000,90,399,996,42,0.7989143811845659,0.48632985805231466,10.782596004189234,0.8759765220022707,0.6459652483727675,8.337037726567662
11,quantum computing,Installs,0,View count,400000,73,399,996,42,0.8012349152144069,0.4966700543532034,10.062433816768781,0.879470355384386,0.6537253387302893,7.864300911554591
