,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,vpn,Rating,0,Comment count,0,502,1985,1000,229,0.822555055145801,0.45888354532390696,29.435898261459617,0.857188566450529,0.5374773917298153,28.72553929181584
1,vpn,Rating,0,Comment count,100,218,1985,1000,229,0.8296017123711034,0.4856189644327184,25.277356446370526,0.868401713788761,0.5800878698645685,24.62174666119696
2,vpn,Rating,0,Comment count,1000,40,1985,1000,229,0.8080090194537521,0.4170550159726935,19.400076650284362,0.8544074526540149,0.5240965261487452,18.358517902340505
3,vpn,Rating,0,Comment count,10000,1,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
4,vpn,Rating,0,Comment count,100000,0,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
5,vpn,Rating,0,Comment count,1000000,0,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
6,vpn,Rating,0,Comment count,10000000,0,1985,1000,229,0.8160831607962962,0.43661571546770667,29.071579508483065,0.8526908936684172,0.5190441823895492,28.248068296486263
7,vpn,Rating,100,Comment count,0,502,1985,1000,119,0.8192611826698922,0.4502535725382769,29.206178978009117,0.8533362077940674,0.5245233809620834,28.36832159704562
8,vpn,Rating,100,Comment count,100,218,1985,1000,119,0.8247681977785504,0.47256257200812934,25.263943056013876,0.8619647232859939,0.5572251657649662,24.36650852992005
9,vpn,Rating,100,Comment count,1000,40,1985,1000,119,0.7988231089278036,0.3912932009325051,19.105730700103813,0.8452230187144966,0.49053805217744106,17.907886850575103
10,vpn,Rating,100,Comment count,10000,1,1985,1000,119,0.813956547353647,0.4319185354859916,28.76775678107107,0.8496056992391604,0.5089208459090001,27.88705466347167
11,vpn,Rating,100,Comment count,100000,0,1985,1000,119,0.813956547353647,0.4319185354859916,28.76775678107107,0.8496056992391604,0.5089208459090001,27.88705466347167
12,vpn,Rating,100,Comment count,1000000,0,1985,1000,119,0.813956547353647,0.4319185354859916,28.76775678107107,0.8496056992391604,0.5089208459090001,27.88705466347167
13,vpn,Rating,100,Comment count,10000000,0,1985,1000,119,0.813956547353647,0.4319185354859916,28.76775678107107,0.8496056992391604,0.5089208459090001,27.88705466347167
14,vpn,Rating,1000,Comment count,0,502,1985,1000,60,0.8190269703990146,0.4493893858939473,28.992392898605594,0.8533393170160121,0.5243762626204317,28.19409616482163
15,vpn,Rating,1000,Comment count,100,218,1985,1000,60,0.8245801956792341,0.4719080494629374,24.865167761464086,0.8620053603837896,0.5572752630675656,23.989096975360123
16,vpn,Rating,1000,Comment count,1000,40,1985,1000,60,0.7980792104301587,0.38936463058062926,18.97196933038738,0.8450170819008755,0.4896713361323599,17.786614204212466
17,vpn,Rating,1000,Comment count,10000,1,1985,1000,60,0.813577652390609,0.43066589640353053,28.54956192819311,0.849509679122265,0.5084195941649251,27.707166904700422
18,vpn,Rating,1000,Comment count,100000,0,1985,1000,60,0.813577652390609,0.43066589640353053,28.54956192819311,0.849509679122265,0.5084195941649251,27.707166904700422
19,vpn,Rating,1000,Comment count,1000000,0,1985,1000,60,0.813577652390609,0.43066589640353053,28.54956192819311,0.849509679122265,0.5084195941649251,27.707166904700422
20,vpn,Rating,1000,Comment count,10000000,0,1985,1000,60,0.813577652390609,0.43066589640353053,28.54956192819311,0.849509679122265,0.5084195941649251,27.707166904700422
21,vpn,Rating,10000,Comment count,0,502,1985,1000,33,0.8187386493391231,0.4484804162589017,28.955400700596456,0.8533254114514754,0.5242229345325723,28.162404114041237
22,vpn,Rating,10000,Comment count,100,218,1985,1000,33,0.8244659196374924,0.47146379067542943,25.075978062375217,0.8620142025290048,0.5572380904191148,24.20604830259775
23,vpn,Rating,10000,Comment count,1000,40,1985,1000,33,0.7978562177574677,0.3886333917770637,18.946220266716974,0.8449772921985933,0.48941399791395296,17.764554400326542
24,vpn,Rating,10000,Comment count,10000,1,1985,1000,33,0.8132445275063889,0.42963895529058155,28.511367483748668,0.849485794440482,0.5082161364633478,27.67444486226965
25,vpn,Rating,10000,Comment count,100000,0,1985,1000,33,0.8132445275063889,0.42963895529058155,28.511367483748668,0.849485794440482,0.5082161364633478,27.67444486226965
26,vpn,Rating,10000,Comment count,1000000,0,1985,1000,33,0.8132445275063889,0.42963895529058155,28.511367483748668,0.849485794440482,0.5082161364633478,27.67444486226965
27,vpn,Rating,10000,Comment count,10000000,0,1985,1000,33,0.8132445275063889,0.42963895529058155,28.511367483748668,0.849485794440482,0.5082161364633478,27.67444486226965
28,vpn,Rating,100000,Comment count,0,502,1985,1000,21,0.8189739875001643,0.44896330975303317,28.925134356770783,0.8533742493052789,0.5243201612633597,28.131843922217254
29,vpn,Rating,100000,Comment count,100,218,1985,1000,21,0.8245457881902576,0.47160151908165315,25.052393156714842,0.8620034620883487,0.5571684686122962,24.182234417270777
