,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,vpn,Duration,0,Track time,0,502,1985,1000,229,0.822555055145801,0.45888354532390696,29.435898261459617,0.857188566450529,0.5374773917298153,28.72553929181584
1,vpn,Duration,0,Track time,5,502,1985,873,229,0.8277881230584694,0.47674658870283815,27.163140007989366,0.8613722337084597,0.5535362686725565,26.402149482927218
2,vpn,Duration,0,Track time,10,502,1985,726,229,0.8276934726005265,0.476484995210876,27.306622561197806,0.8605844958035924,0.5504492331052526,26.50581880220305
3,vpn,Duration,0,Track time,15,502,1985,638,229,0.8239060190855184,0.4637374646844531,25.52614679560003,0.8592316899058793,0.544083573998922,24.62986941597547
4,vpn,Duration,0,Track time,20,502,1985,551,229,0.8201428765721953,0.45922397030186163,26.236481455527297,0.8567888958025889,0.538216911219332,25.124826167297815
5,vpn,Duration,0,Track time,25,502,1985,482,229,0.8157792015095263,0.45221175228508687,26.09507072829096,0.853542246861333,0.5297932645621736,25.06895852075927
6,vpn,Duration,0,Track time,30,502,1985,408,229,0.8116638521792782,0.44147850864275595,23.844949489168506,0.8507710864214153,0.5201603345754935,22.745153634425826
7,vpn,Duration,0,Track time,40,502,1985,302,229,0.794231547882202,0.40300943090615615,22.0170814114147,0.8390225364216909,0.48524981054213423,20.716205933320243
8,vpn,Duration,5,Track time,0,311,1985,1000,229,0.8235264076765356,0.4613931728205371,29.5052201785642,0.857797092298713,0.5396105883523684,28.83786611526605
9,vpn,Duration,5,Track time,5,311,1985,873,229,0.8287504216541032,0.4792131236765471,27.220702159878343,0.861961533094257,0.5555972503697373,26.542472549239456
10,vpn,Duration,5,Track time,10,311,1985,726,229,0.8284821780038829,0.47850644818214677,27.388527572296383,0.8609422057297045,0.55172643414261,26.65201478871527
11,vpn,Duration,5,Track time,15,311,1985,638,229,0.8248520400250906,0.46617138915707923,25.603343113668846,0.8596471025869186,0.5456162123999324,24.7957919140472
12,vpn,Duration,5,Track time,20,311,1985,551,229,0.8213031666541366,0.461912347658542,26.314660666448354,0.8573571279817377,0.540117674806484,25.306131296004484
13,vpn,Duration,5,Track time,25,311,1985,482,229,0.8170763554897997,0.45498262784528715,25.84733572408243,0.854168651480351,0.5317384579260022,24.912238780663152
14,vpn,Duration,5,Track time,30,311,1985,408,229,0.8128852355501193,0.44403428402055256,23.657966729089814,0.8513451451332258,0.5219526072143832,22.651081829995082
15,vpn,Duration,5,Track time,40,311,1985,302,229,0.7959681158338849,0.40622901041264725,21.832998273621698,0.8400029525905833,0.4879945200287799,20.63102168611029
16,vpn,Duration,10,Track time,0,141,1985,1000,229,0.8201537790764927,0.4502075714868236,27.568734626029144,0.85491135821406,0.5283457063333421,26.8539000315342
17,vpn,Duration,10,Track time,5,141,1985,873,229,0.8251767878582479,0.4674160603213453,25.459975177689905,0.8589238744352822,0.5438284769784956,24.653722336854425
18,vpn,Duration,10,Track time,10,141,1985,726,229,0.825542775108983,0.4684104561802473,25.590530015277956,0.8584572283570117,0.5418568637580224,24.834847168792237
19,vpn,Duration,10,Track time,15,141,1985,638,229,0.8217647493090121,0.455624611420693,23.98980838272471,0.8569001551060133,0.5346709842857585,23.110743559012555
20,vpn,Duration,10,Track time,20,141,1985,551,229,0.818064369724326,0.4512583535912361,24.630948938461913,0.8545087401289374,0.5290451007610353,23.54551821711453
21,vpn,Duration,10,Track time,25,141,1985,482,229,0.8140530556477562,0.44493516608449757,25.334031957130822,0.8512548329249747,0.5205722802077737,24.285743336513423
22,vpn,Duration,10,Track time,30,141,1985,408,229,0.8100920354604038,0.4344579745816298,24.93983655240867,0.8486150147612563,0.5112490274065236,23.882446524327264
23,vpn,Duration,10,Track time,40,141,1985,302,229,0.7933608169438566,0.39722405175879977,21.66648480857262,0.8373947595584279,0.4776585252514713,20.383873348175428
24,vpn,Duration,15,Track time,0,46,1985,1000,229,0.8167959576193055,0.44096853826339755,23.432050103695325,0.8529804552193526,0.521581536594341,22.636437168365223
25,vpn,Duration,15,Track time,5,46,1985,873,229,0.8217054067399734,0.4577592669689097,21.508124681346,0.8572461504746149,0.5378437551482971,20.679487573722675
26,vpn,Duration,15,Track time,10,46,1985,726,229,0.822884301325704,0.4607483570648382,21.847851711408044,0.8569616115601157,0.5364744618038604,21.009473201227426
27,vpn,Duration,15,Track time,15,46,1985,638,229,0.818234575604173,0.44590808073112714,20.50607438161306,0.8546388352852141,0.526592790096523,19.57140348895932
28,vpn,Duration,15,Track time,20,46,1985,551,229,0.8141188188585688,0.441138557295741,20.930728602383542,0.8520215991135758,0.5207479374971535,19.771596064206744
29,vpn,Duration,15,Track time,25,46,1985,482,229,0.8095302461746675,0.43402783954957685,21.361868028108493,0.8483399524917443,0.5114455362502102,20.21650909415925
30,vpn,Duration,15,Track time,30,46,1985,408,229,0.8060493739399373,0.4247128427742246,22.692139533431185,0.8460462186533986,0.5031836201439007,21.56440822765075
31,vpn,Duration,15,Track time,40,46,1985,302,229,0.7885882308002461,0.3871195116931171,19.972732411495418,0.8343449681430878,0.4690035481162153,18.54556030041616
32,vpn,Duration,20,Track time,0,19,1985,1000,229,0.8020351087068421,0.39676255884206374,24.3052142660973,0.8434828336845517,0.48594083475357996,23.44347774596351
33,vpn,Duration,20,Track time,5,19,1985,873,229,0.8060089213400256,0.41058914351220266,22.402751973306707,0.8472912232936812,0.5004077147819981,21.459266227372865
