,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,chatGPT,Track time,0,Duration,0,518,651,990,206,0.9724099544824709,0.9629582660208746,4.763972365808425,0.9845982892460333,0.9795053787827449,4.519447072761111
1,chatGPT,Track time,0,Duration,25,84,651,990,206,0.9662540420850079,0.9547387961603853,5.176919863132599,0.9850403206944796,0.9800846202338586,4.591369265752697
2,chatGPT,Track time,0,Duration,50,26,651,990,206,0.9684934556392703,0.9577235834153517,4.345250934189561,0.9888012420102278,0.9851995332274259,3.4235019485015843
3,chatGPT,Track time,0,Duration,75,14,651,990,206,0.9523049066917092,0.9361904257714924,5.993698597797132,0.9832407700792527,0.9777103426064824,5.11950289147426
4,chatGPT,Track time,0,Duration,100,9,651,990,206,0.9209544430590075,0.8962346824218959,8.347326975827018,0.9773773391520333,0.9697410620245756,7.2258264892307995
5,chatGPT,Track time,0,Duration,125,6,651,990,206,0.9358207666153353,0.9155419690526544,8.658491558609331,0.9785210337635369,0.971297505063349,8.07889303188246
6,chatGPT,Track time,0,Duration,150,3,651,990,206,0.9458520352584916,0.928189741373674,9.172058656472624,0.9818868428270462,0.9757926507287324,8.728868590968371
7,chatGPT,Track time,5,Duration,0,518,651,934,206,0.9721549572379247,0.9623370016763798,4.8173163676875985,0.9841173870923288,0.9786936405324412,4.519431836094345
8,chatGPT,Track time,5,Duration,25,84,651,934,206,0.9660206722528732,0.9540885615263153,5.265096066142578,0.984793207982937,0.9795977840159895,4.662051376631851
9,chatGPT,Track time,5,Duration,50,26,651,934,206,0.9681348881931993,0.9569259718870181,4.47339170862728,0.9885839252607134,0.9847900757670288,3.471229119333244
10,chatGPT,Track time,5,Duration,75,14,651,934,206,0.9523782667136499,0.935816104252275,6.128506523513237,0.9831647995061272,0.9774383075590501,5.172249883606537
11,chatGPT,Track time,5,Duration,100,9,651,934,206,0.9217259026464608,0.8965026663811148,8.508998439570599,0.9779035426078387,0.9702271638379347,7.322462585340037
12,chatGPT,Track time,5,Duration,125,6,651,934,206,0.9370731862947478,0.9165628806314562,8.803863951829923,0.9792232680857368,0.9720301075658254,8.188196068697499
13,chatGPT,Track time,5,Duration,150,3,651,934,206,0.9467870563754334,0.9288930644364366,9.307613141339193,0.9823033795113927,0.9761759878334836,8.85362918158607
14,chatGPT,Track time,10,Duration,0,518,651,801,206,0.9722565113881874,0.9624974263056871,5.171999282813009,0.9856535886615141,0.9807499643134263,4.858870804202298
15,chatGPT,Track time,10,Duration,25,84,651,801,206,0.966596713753663,0.9549066596809067,5.3087403484070235,0.9861937520505071,0.9814736717132185,4.633259652795998
16,chatGPT,Track time,10,Duration,50,26,651,801,206,0.9684758081853698,0.957426327461564,4.506168426349302,0.9898644527684987,0.986486227472377,3.3914116491399064
17,chatGPT,Track time,10,Duration,75,14,651,801,206,0.9507080790840178,0.9337099984654219,6.306656118005782,0.9843921125007928,0.9790701612571915,5.192985176025756
18,chatGPT,Track time,10,Duration,100,9,651,801,206,0.9198989365078438,0.894413588484108,8.684881440490832,0.9785006098623418,0.9710408147578963,7.365359728956332
